Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
03/11/2022,MITS,LL,,RED,BC96112,IL,400 E. Lower Wacker,(312) 744-7550,0254244
04/06/2022,CHEV,4D,,TAN,,IL,701 N. Sacramento,(773) 265-7605,7028800
04/01/2022,CHRY,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7028506
03/02/2022,MITS,4D,,SIL,DH85517,IL,10300 S. Doty,(773) 568-8495,2929224
04/23/2022,CHRY,4T,,GRY,BE48133,IL,701 N. Sacramento,(773) 265-7605,7029766
03/27/2022,NISS,4D,,WHI,CJ11032,IL,10300 S. Doty,(773) 568-8495,2930641
03/02/2022,NISS,LL,,WHI,ZZ74554,IL,10300 S. Doty,(773) 568-8495,2929223
03/11/2022,MITS,LL,,RED,BC96112,IL,400 E. Lower Wacker,(312) 744-7550,0254244
02/18/2022,CHEV,VN,,WHI,2761717B,IL,701 N. Sacramento,(773) 265-1846,1543338
05/01/2022,BMW,LL,,SIL,,,10300 S. Doty,(773) 568-8495,2931980
02/11/2022,DODG,VN,,BLU,ALZ1228,WI,701 N. Sacramento,(773) 265-7605,7023973
02/13/2022,TOYT,4D,,BLU,DF29585,IL,701 N. Sacramento,(773) 265-7605,7024196
02/16/2022,CHEV,4D,IMP,BLU,888483,IL,701 N. Sacramento,(773) 265-7605,7024514
03/03/2022,MAZD,LL,,WHI,,IL,10300 S. Doty,(773) 568-8495,2929265
02/24/2022,DODG,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2928868
03/18/2022,HOND,SW,,GRY,CX43165,IL,701 N. Sacramento,(773) 265-1846,1543435
04/15/2022,NISS,4D,,BLK,R803728,IL,400 E. Lower Wacker,(312) 744-7550,0256319
04/23/2022,HYUN,4T,,WHI,Y892451,IL,701 N. Sacramento,(773) 265-7605,7029773
04/16/2022,CHRY,4D,,TAN,CJ32470,IL,701 N. Sacramento,(773) 265-7605,7029418
02/15/2022,HOND,LL,,SIL,CW94375,IL,701 N. Sacramento,(773) 265-7605,7024513
04/23/2022,TOYT,4T,,SIL,DH93761,IL,701 N. Sacramento,(773) 265-7605,7029769
05/01/2022,TOYT,4D,,SIL,537AA619,IL,10300 S. Doty,(773) 568-8495,2931981
04/04/2022,HYUN,4D,SON,BLK,DH35257,IL,10300 S. Doty,(773) 785-9752,1723029
04/01/2022,FORD,LL,,GRY,CF22889,IL,701 N. Sacramento,(773) 265-7605,7028507
03/24/2022,HYUN,4D,,TAN,,IL,10300 S. Doty,(773) 568-8495,2930423
03/24/2022,FORD,4D,,BLK,,IN,10300 S. Doty,(773) 568-8495,2930422
04/30/2022,CHEV,LL,TK,BLK,FRG810,MN,701 N. Sacramento,(773) 265-7605,7030180
04/02/2022,NISS,4D,,BLK,CY74434,IL,10300 S. Doty,(773) 568-8495,2930838
03/15/2022,FORD,LL,,BLK,DH11579,IL,10300 S. Doty,(773) 568-8495,2929988
02/13/2022,CHEV,4D,,BLK,DH24674,IL,701 N. Sacramento,(773) 265-7605,7024198
04/23/2022,KIA,SW,,GRN,Q400069,IL,701 N. Sacramento,(773) 265-7605,7029768
04/23/2022,LAND,LL,,BLK,CL57241,IL,701 N. Sacramento,(773) 265-7605,7029772
04/15/2022,CHRY,4D,,GRY,BE58591,IL,10300 S. Doty,(773) 568-8495,2931409
03/23/2022,HOND,MS,,ONG,,,701 N. Sacramento,(773) 265-7605,7027749
04/15/2022,TOYT,4D,,RED,,IL,701 N. Sacramento,(773) 265-1846,1543537
05/01/2022,LNDR,LL,,LGR,A62MYD,NJ,701 N. Sacramento,(773) 265-7605,7030350
